#tissue.id	Term	go.id	go.term
BTO:0001487	adipose_tissue	GO:0045599	negative regulation of fat cell differentiation
BTO:0001487	adipose_tissue	GO:0045600	positive regulation of fat cell differentiation
BTO:0001487	adipose_tissue	GO:0050872	white fat cell differentiation
BTO:0001487	adipose_tissue	GO:0050873	brown fat cell differentiation
BTO:0001487	adipose_tissue	GO:0060611	mammary gland fat development
BTO:0001487	adipose_tissue	GO:0060612	adipose tissue development
BTO:0001487	adipose_tissue	GO:0060613	fat pad development
BTO:0001487	adipose_tissue	GO:0060642	white fat cell differentiation involved in mammary gland fat development
BTO:0001487	adipose_tissue	GO:0060647	mesenchymal cell condensation involved in mammary fat development
BTO:0001487	adipose_tissue	GO:0070341	fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070342	brown fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070343	white fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070344	regulation of fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070345	negative regulation of fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070346	positive regulation of fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070347	regulation of brown fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070348	negative regulation of brown fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070349	positive regulation of brown fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070350	regulation of white fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070351	negative regulation of white fat cell proliferation
BTO:0001487	adipose_tissue	GO:0070352	positive regulation of white fat cell proliferation
BTO:0001487	adipose_tissue	GO:0090335	regulation of brown fat cell differentiation
BTO:0001487	adipose_tissue	GO:0090336	positive regulation of brown fat cell differentiation
BTO:0000045	adrenal_cortex	GO:0035801	adrenal cortex development
BTO:0000045	adrenal_cortex	GO:0035802	adrenal cortex formation
BTO:0000047	adrenal_gland	GO:0001994	norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure
BTO:0000047	adrenal_gland	GO:0001995	norepinephrine-epinephrine catabolic process in blood stream
BTO:0000047	adrenal_gland	GO:0001996	positive regulation of heart rate by epinephrine-norepinephrine
BTO:0000047	adrenal_gland	GO:0001997	positive regulation of the force of heart contraction by epinephrine-norepinephrine
BTO:0000047	adrenal_gland	GO:0002025	vasodilation by norepinephrine-epinephrine involved in regulation of systemic arterial blood pressure
BTO:0000047	adrenal_gland	GO:0003047	regulation of systemic arterial blood pressure by epinephrine
BTO:0000047	adrenal_gland	GO:0003048	regulation of systemic arterial blood pressure by norepinephrine
BTO:0000047	adrenal_gland	GO:0003059	positive regulation of the force of heart contraction by epinephrine
BTO:0000047	adrenal_gland	GO:0003061	positive regulation of the force of heart contraction by norepinephrine
BTO:0000047	adrenal_gland	GO:0003065	positive regulation of heart rate by epinephrine
BTO:0000047	adrenal_gland	GO:0003066	positive regulation of heart rate by norepinephrine
BTO:0000047	adrenal_gland	GO:0003087	positive regulation of the force of heart contraction by neuronal epinephrine
BTO:0000047	adrenal_gland	GO:0003088	positive regulation of the force of heart contraction by circulating epinephrine
BTO:0000047	adrenal_gland	GO:0003089	positive regulation of the force of heart contraction by circulating epinephrine-norepinephrine
BTO:0000047	adrenal_gland	GO:0003090	positive regulation of the force of heart contraction by neuronal epinephrine-norepinephrine
BTO:0000047	adrenal_gland	GO:0003109	positive regulation of the force of heart contraction by circulating norepinephrine
BTO:0000047	adrenal_gland	GO:0003110	positive regulation of the force of heart contraction by neuronal norepinephrine
BTO:0000047	adrenal_gland	GO:0003111	positive regulation of heart rate by circulating epinephrine
BTO:0000047	adrenal_gland	GO:0003112	positive regulation of heart rate by neuronal epinephrine
BTO:0000047	adrenal_gland	GO:0003113	positive regulation of heart rate by neuronal norepinephrine
BTO:0000047	adrenal_gland	GO:0003114	positive regulation of heart rate by circulating norepinephrine
BTO:0000047	adrenal_gland	GO:0003117	regulation of vasoconstriction by circulating norepinephrine
BTO:0000047	adrenal_gland	GO:0003118	regulation of vasoconstriction by neuronal norepinephrine
BTO:0000047	adrenal_gland	GO:0003119	regulation of vasoconstriction by neuronal epinephrine
BTO:0000047	adrenal_gland	GO:0003120	regulation of vasoconstriction by circulating epinephrine
BTO:0000047	adrenal_gland	GO:0003121	regulation of vasodilation by epinephrine
BTO:0000047	adrenal_gland	GO:0003122	regulation of vasodilation by norepinephrine
BTO:0000047	adrenal_gland	GO:0003123	regulation of vasodilation by circulating epinephrine
BTO:0000047	adrenal_gland	GO:0003124	regulation of vasodilation by neuronal epinephrine
BTO:0000047	adrenal_gland	GO:0003125	regulation of vasodilation by circulating norepinephrine
BTO:0000047	adrenal_gland	GO:0003126	regulation of vasodilation by neuronal norepinephrine
BTO:0000047	adrenal_gland	GO:0010700	negative regulation of norepinephrine secretion
BTO:0000047	adrenal_gland	GO:0010701	positive regulation of norepinephrine secretion
BTO:0000047	adrenal_gland	GO:0014060	regulation of epinephrine secretion
BTO:0000047	adrenal_gland	GO:0014061	regulation of norepinephrine secretion
BTO:0000047	adrenal_gland	GO:0015874	norepinephrine transport
BTO:0000047	adrenal_gland	GO:0030325	adrenal gland development
BTO:0000047	adrenal_gland	GO:0032811	negative regulation of epinephrine secretion
BTO:0000047	adrenal_gland	GO:0032812	positive regulation of epinephrine secretion
BTO:0000047	adrenal_gland	GO:0035801	adrenal cortex development
BTO:0000047	adrenal_gland	GO:0035802	adrenal cortex formation
BTO:0000047	adrenal_gland	GO:0042414	epinephrine metabolic process
BTO:0000047	adrenal_gland	GO:0042415	norepinephrine metabolic process
BTO:0000047	adrenal_gland	GO:0042418	epinephrine biosynthetic process
BTO:0000047	adrenal_gland	GO:0042419	epinephrine catabolic process
BTO:0000047	adrenal_gland	GO:0042421	norepinephrine biosynthetic process
BTO:0000047	adrenal_gland	GO:0042422	norepinephrine catabolic process
BTO:0000047	adrenal_gland	GO:0048241	epinephrine transport
BTO:0000047	adrenal_gland	GO:0048242	epinephrine secretion
BTO:0000047	adrenal_gland	GO:0048243	norepinephrine secretion
BTO:0000047	adrenal_gland	GO:0051620	norepinephrine uptake
BTO:0000047	adrenal_gland	GO:0051621	regulation of norepinephrine uptake
BTO:0000047	adrenal_gland	GO:0051622	negative regulation of norepinephrine uptake
BTO:0000047	adrenal_gland	GO:0051623	positive regulation of norepinephrine uptake
BTO:0000047	adrenal_gland	GO:0051624	inhibition of norepinephrine uptake
BTO:0000047	adrenal_gland	GO:0051625	epinephrine uptake
BTO:0000047	adrenal_gland	GO:0051626	regulation of epinephrine uptake
BTO:0000047	adrenal_gland	GO:0051627	negative regulation of epinephrine uptake
BTO:0000047	adrenal_gland	GO:0051628	positive regulation of epinephrine uptake
BTO:0000047	adrenal_gland	GO:0051629	inhibition of epinephrine uptake
BTO:0000047	adrenal_gland	GO:0061104	adrenal chromaffin cell differentiation
BTO:0000047	adrenal_gland	GO:0071871	response to epinephrine stimulus
BTO:0000047	adrenal_gland	GO:0071872	cellular response to epinephrine stimulus
BTO:0000047	adrenal_gland	GO:0071873	response to norepinephrine stimulus
BTO:0000047	adrenal_gland	GO:0071874	cellular response to norepinephrine stimulus
BTO:0000049	adrenal_medulla	GO:0001995	norepinephrine-epinephrine catabolic process in blood stream
BTO:0000049	adrenal_medulla	GO:0010700	negative regulation of norepinephrine secretion
BTO:0000049	adrenal_medulla	GO:0010701	positive regulation of norepinephrine secretion
BTO:0000049	adrenal_medulla	GO:0014060	regulation of epinephrine secretion
BTO:0000049	adrenal_medulla	GO:0014061	regulation of norepinephrine secretion
BTO:0000049	adrenal_medulla	GO:0015874	norepinephrine transport
BTO:0000049	adrenal_medulla	GO:0032811	negative regulation of epinephrine secretion
BTO:0000049	adrenal_medulla	GO:0032812	positive regulation of epinephrine secretion
BTO:0000049	adrenal_medulla	GO:0042414	epinephrine metabolic process
BTO:0000049	adrenal_medulla	GO:0042415	norepinephrine metabolic process
BTO:0000049	adrenal_medulla	GO:0042418	epinephrine biosynthetic process
BTO:0000049	adrenal_medulla	GO:0042419	epinephrine catabolic process
BTO:0000049	adrenal_medulla	GO:0042421	norepinephrine biosynthetic process
BTO:0000049	adrenal_medulla	GO:0042422	norepinephrine catabolic process
BTO:0000049	adrenal_medulla	GO:0048242	epinephrine secretion
BTO:0000049	adrenal_medulla	GO:0048243	norepinephrine secretion
BTO:0000049	adrenal_medulla	GO:0051620	norepinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051621	regulation of norepinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051622	negative regulation of norepinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051623	positive regulation of norepinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051624	inhibition of norepinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051625	epinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051626	regulation of epinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051627	negative regulation of epinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051628	positive regulation of epinephrine uptake
BTO:0000049	adrenal_medulla	GO:0051629	inhibition of epinephrine uptake
BTO:0000049	adrenal_medulla	GO:0071871	response to epinephrine stimulus
BTO:0000049	adrenal_medulla	GO:0071872	cellular response to epinephrine stimulus
BTO:0000060	alveolus	GO:0048286	lung alveolus development
BTO:0000060	alveolus	GO:0060430	lung saccule development
BTO:0000060	alveolus	GO:0060749	mammary gland alveolus development
BTO:0000060	alveolus	GO:0061030	epithelial cell differentiation involved in mammary gland alveolus development
BTO:0000060	alveolus	GO:0061143	alveolar primary septum development
BTO:0000060	alveolus	GO:0061144	alveolar secondary septum development
BTO:0001042	amygdala	GO:0021764	amygdala development
BTO:0000135	aorta	GO:0060414	aorta smooth muscle tissue morphogenesis
BTO:0000573	artery	GO:0001984	vasodilation of artery involved in baroreceptor response to increased systemic arterial blood pressure
BTO:0000573	artery	GO:0001987	vasoconstriction of artery involved in baroreceptor response to lowering of systemic arterial blood pressure
BTO:0000573	artery	GO:0002012	vasoconstriction of artery involved in chemoreceptor response to lowering of systemic arterial blood pressure
BTO:0000573	artery	GO:0002014	vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure
BTO:0000573	artery	GO:0003042	vasoconstriction of artery involved in carotid body chemoreceptor response to lowering of systemic arterial blood pressure
BTO:0000573	artery	GO:0003043	vasoconstriction of artery involved in aortic body chemoreceptor response to lowering of systemic arterial blood pressure
BTO:0000573	artery	GO:0014824	artery smooth muscle contraction
BTO:0000573	artery	GO:0014830	arteriole smooth muscle contraction
BTO:0000573	artery	GO:0048844	artery morphogenesis
BTO:0000573	artery	GO:0060414	aorta smooth muscle tissue morphogenesis
BTO:0000573	artery	GO:0060840	artery development
BTO:0000573	artery	GO:0060982	coronary artery morphogenesis
BTO:0000573	artery	GO:0061155	pulmonary artery endothelial tube morphogenesis
BTO:0000573	artery	GO:0061156	pulmonary artery morphogenesis
BTO:0000099	astrocyte	GO:0002265	astrocyte activation involved in immune response
BTO:0000099	astrocyte	GO:0014002	astrocyte development
BTO:0000099	astrocyte	GO:0021878	forebrain astrocyte fate commitment
BTO:0000099	astrocyte	GO:0021896	forebrain astrocyte differentiation
BTO:0000099	astrocyte	GO:0021897	forebrain astrocyte development
BTO:0000099	astrocyte	GO:0022031	telencephalon astrocyte cell migration
BTO:0000099	astrocyte	GO:0035700	astrocyte chemotaxis
BTO:0000099	astrocyte	GO:0043615	astrocyte cell migration
BTO:0000099	astrocyte	GO:0048143	astrocyte activation
BTO:0000099	astrocyte	GO:0048708	astrocyte differentiation
BTO:0000099	astrocyte	GO:0048710	regulation of astrocyte differentiation
BTO:0000099	astrocyte	GO:0048711	positive regulation of astrocyte differentiation
BTO:0000099	astrocyte	GO:0048712	negative regulation of astrocyte differentiation
BTO:0000099	astrocyte	GO:0060018	astrocyte fate commitment
BTO:0000099	astrocyte	GO:0060020	Bergmann glial cell differentiation
BTO:0000099	astrocyte	GO:2000458	regulation of astrocyte chemotaxis
BTO:0000099	astrocyte	GO:2000459	negative regulation of astrocyte chemotaxis
BTO:0000099	astrocyte	GO:2000464	positive regulation of astrocyte chemotaxis
BTO:0000903	atrium	GO:0003209	cardiac atrium morphogenesis
BTO:0000903	atrium	GO:0003210	cardiac atrium formation
BTO:0000903	atrium	GO:0003212	cardiac left atrium morphogenesis
BTO:0000903	atrium	GO:0003213	cardiac right atrium morphogenesis
BTO:0000903	atrium	GO:0003216	cardiac left atrium formation
BTO:0000903	atrium	GO:0003217	cardiac right atrium formation
BTO:0000903	atrium	GO:0003228	atrial cardiac muscle tissue development
BTO:0000903	atrium	GO:0003230	cardiac atrium development
BTO:0000903	atrium	GO:0003283	atrial septum development
BTO:0000903	atrium	GO:0003284	septum primum development
BTO:0000903	atrium	GO:0003285	septum secundum development
BTO:0000903	atrium	GO:0003286	atrial septum intermedium development
BTO:0000903	atrium	GO:0003289	atrial septum primum morphogenesis
BTO:0000903	atrium	GO:0003290	atrial septum secundum morphogenesis
BTO:0000903	atrium	GO:0003291	atrial septum intermedium morphogenesis
BTO:0000903	atrium	GO:0055009	atrial cardiac muscle tissue morphogenesis
BTO:0000903	atrium	GO:0060413	atrial septum morphogenesis
BTO:0000903	atrium	GO:0061349	planar cell polarity pathway involved in cardiac right atrium morphogenesis
BTO:0000903	atrium	GO:2000161	regulation of planar cell polarity pathway involved in cardiac right atrium morphogenesis
BTO:0000903	atrium	GO:2000162	negative regulation of planar cell polarity pathway involved in cardiac right atrium morphogenesis
BTO:0000235	basal_ganglion	GO:0021758	putamen development
BTO:0000235	basal_ganglion	GO:0021768	nucleus accumbens development
BTO:0000129	basophil	GO:0002276	basophil activation involved in immune response
BTO:0000129	basophil	GO:0002556	serotonin secretion by basophil
BTO:0000129	basophil	GO:0002557	histamine secretion by basophil
BTO:0000129	basophil	GO:0002559	type I hypersensitivity mediated by basophils
BTO:0000129	basophil	GO:0002560	basophil mediated immunity
BTO:0000129	basophil	GO:0002561	basophil degranulation
BTO:0000129	basophil	GO:0002575	basophil chemotaxis
BTO:0000129	basophil	GO:0030221	basophil differentiation
BTO:0000129	basophil	GO:0045575	basophil activation
BTO:0000129	basophil	GO:0045640	regulation of basophil differentiation
BTO:0000129	basophil	GO:0045641	negative regulation of basophil differentiation
BTO:0000129	basophil	GO:0045642	positive regulation of basophil differentiation
BTO:0000122	bile_duct	GO:0035622	intrahepatic bile duct development
BTO:0000122	bile_duct	GO:0061009	common bile duct development
BTO:0000089	blood	GO:0001779	natural killer cell differentiation
BTO:0000089	blood	GO:0001865	NK T cell differentiation
BTO:0000089	blood	GO:0001923	B-1 B cell differentiation
BTO:0000089	blood	GO:0001924	regulation of B-1 B cell differentiation
BTO:0000089	blood	GO:0001925	negative regulation of B-1 B cell differentiation
BTO:0000089	blood	GO:0001926	positive regulation of B-1 B cell differentiation
BTO:0000089	blood	GO:0001995	norepinephrine-epinephrine catabolic process in blood stream
BTO:0000089	blood	GO:0002000	detection of renal blood flow
BTO:0000089	blood	GO:0002001	renin secretion into blood stream
BTO:0000089	blood	GO:0002002	regulation of angiotensin levels in blood
BTO:0000089	blood	GO:0002003	angiotensin maturation
BTO:0000089	blood	GO:0002005	angiotensin catabolic process in blood
BTO:0000089	blood	GO:0002007	detection of hypoxic conditions in blood by chemoreceptor signaling
BTO:0000089	blood	GO:0002205	somatic hypermutation of immunoglobulin genes involved in immune response
BTO:0000089	blood	GO:0002244	hemopoietic progenitor cell differentiation
BTO:0000089	blood	GO:0002272	plasmacytoid dendritic cell differentiation involved in immune response
BTO:0000089	blood	GO:0002273	plasmacytoid dendritic cell differentiation
BTO:0000089	blood	GO:0002284	myeloid dendritic cell differentiation involved in immune response
BTO:0000089	blood	GO:0002292	T cell differentiation involved in immune response
BTO:0000089	blood	GO:0002293	alpha-beta T cell differentiation involved in immune response
BTO:0000089	blood	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response
BTO:0000089	blood	GO:0002295	T-helper cell lineage commitment
BTO:0000089	blood	GO:0002296	T-helper 1 cell lineage commitment
BTO:0000089	blood	GO:0002297	T-helper 2 cell lineage commitment
BTO:0000089	blood	GO:0002298	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
BTO:0000089	blood	GO:0002299	alpha-beta intraepithelial T cell differentiation
BTO:0000089	blood	GO:0002300	CD8-positive, alpha-beta intraepithelial T cell differentiation
BTO:0000089	blood	GO:0002301	CD4-positive, alpha-beta intraepithelial T cell differentiation
BTO:0000089	blood	GO:0002302	CD8-positive, alpha-beta T cell differentiation involved in immune response
BTO:0000089	blood	GO:0002303	gamma-delta T cell differentiation involved in immune response
BTO:0000089	blood	GO:0002304	gamma-delta intraepithelial T cell differentiation
BTO:0000089	blood	GO:0002305	CD8-positive, gamma-delta intraepithelial T cell differentiation
BTO:0000089	blood	GO:0002306	CD4-positive gamma-delta intraepithelial T cell differentiation
BTO:0000089	blood	GO:0002307	CD8-positive, alpha-beta regulatory T cell differentiation
BTO:0000089	blood	GO:0002308	CD8-positive, alpha-beta cytotoxic T cell differentiation
BTO:0000089	blood	GO:0002313	mature B cell differentiation involved in immune response
BTO:0000089	blood	GO:0002314	germinal center B cell differentiation
BTO:0000089	blood	GO:0002315	marginal zone B cell differentiation
BTO:0000089	blood	GO:0002316	follicular B cell differentiation
BTO:0000089	blood	GO:0002317	plasma cell differentiation
BTO:0000089	blood	GO:0002318	myeloid progenitor cell differentiation
BTO:0000089	blood	GO:0002319	memory B cell differentiation
BTO:0000089	blood	GO:0002320	lymphoid progenitor cell differentiation
BTO:0000089	blood	GO:0002321	natural killer cell progenitor differentiation
BTO:0000089	blood	GO:0002325	natural killer cell differentiation involved in immune response
BTO:0000089	blood	GO:0002326	B cell lineage commitment
BTO:0000089	blood	GO:0002327	immature B cell differentiation
BTO:0000089	blood	GO:0002328	pro-B cell differentiation
BTO:0000089	blood	GO:0002329	pre-B cell differentiation
BTO:0000089	blood	GO:0002330	pre-B cell receptor expression
BTO:0000089	blood	GO:0002331	pre-B cell allelic exclusion
BTO:0000089	blood	GO:0002332	transitional stage B cell differentiation
BTO:0000089	blood	GO:0002333	transitional one stage B cell differentiation
BTO:0000089	blood	GO:0002334	transitional two stage B cell differentiation
BTO:0000089	blood	GO:0002335	mature B cell differentiation
BTO:0000089	blood	GO:0002336	B-1 B cell lineage commitment
BTO:0000089	blood	GO:0002337	B-1a B cell differentiation
BTO:0000089	blood	GO:0002338	B-1b B cell differentiation
BTO:0000089	blood	GO:0002339	B cell selection
BTO:0000089	blood	GO:0002340	central B cell selection
BTO:0000089	blood	GO:0002341	central B cell anergy
BTO:0000089	blood	GO:0002342	central B cell deletion
BTO:0000089	blood	GO:0002343	peripheral B cell selection
BTO:0000089	blood	GO:0002344	B cell affinity maturation
BTO:0000089	blood	GO:0002346	B cell positive selection
BTO:0000089	blood	GO:0002348	central B cell positive selection
BTO:0000089	blood	GO:0002350	peripheral B cell positive selection
BTO:0000089	blood	GO:0002352	B cell negative selection
BTO:0000089	blood	GO:0002354	central B cell negative selection
BTO:0000089	blood	GO:0002356	peripheral B cell negative selection
BTO:0000089	blood	GO:0002360	T cell lineage commitment
BTO:0000089	blood	GO:0002361	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
BTO:0000089	blood	GO:0002362	CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment
BTO:0000089	blood	GO:0002363	alpha-beta T cell lineage commitment
BTO:0000089	blood	GO:0002364	NK T cell lineage commitment
BTO:0000089	blood	GO:0002365	gamma-delta T cell lineage commitment
BTO:0000089	blood	GO:0002435	immune complex clearance by erythrocytes
BTO:0000089	blood	GO:0002521	leukocyte differentiation
BTO:0000089	blood	GO:0002543	activation of blood coagulation via clotting cascade
BTO:0000089	blood	GO:0002568	somatic diversification of T cell receptor genes
BTO:0000089	blood	GO:0002571	somatic diversification of T cell receptor genes by N region addition
BTO:0000089	blood	GO:0002572	pro-T cell differentiation
BTO:0000089	blood	GO:0002573	myeloid leukocyte differentiation
BTO:0000089	blood	GO:0002574	thrombocyte differentiation
BTO:0000089	blood	GO:0002680	pro-T cell lineage commitment
BTO:0000089	blood	GO:0002681	somatic recombination of T cell receptor gene segments
BTO:0000089	blood	GO:0002761	regulation of myeloid leukocyte differentiation
BTO:0000089	blood	GO:0002762	negative regulation of myeloid leukocyte differentiation
BTO:0000089	blood	GO:0002763	positive regulation of myeloid leukocyte differentiation
BTO:0000089	blood	GO:0002898	regulation of central B cell deletion
BTO:0000089	blood	GO:0002899	negative regulation of central B cell deletion
BTO:0000089	blood	GO:0002900	positive regulation of central B cell deletion
BTO:0000089	blood	GO:0002914	regulation of central B cell anergy
BTO:0000089	blood	GO:0002915	negative regulation of central B cell anergy
BTO:0000089	blood	GO:0002916	positive regulation of central B cell anergy
BTO:0000089	blood	GO:0003020	detection of reduced oxygen by chemoreceptor signaling
BTO:0000089	blood	GO:0003021	detection of increased carbon dioxide by chemoreceptor signaling
BTO:0000089	blood	GO:0003022	detection of pH by chemoreceptor signaling
BTO:0000089	blood	GO:0003029	detection of hypoxic conditions in blood by carotid body chemoreceptor signaling
BTO:0000089	blood	GO:0003033	detection of hypoxic conditions in blood by aortic body chemoreceptor signaling
BTO:0000089	blood	GO:0003034	detection of increased carbon dioxide by aortic body chemoreceptor signaling
BTO:0000089	blood	GO:0003035	detection of increased carbon dioxide by carotid body chemoreceptor signaling
BTO:0000089	blood	GO:0003036	detection of pH by aortic body chemoreceptor signaling
BTO:0000089	blood	GO:0003037	detection of pH by carotid body chemoreceptor signaling
BTO:0000089	blood	GO:0003038	detection of reduced oxygen by aortic body chemoreceptor signaling
BTO:0000089	blood	GO:0003039	detection of reduced oxygen by carotid body chemoreceptor signaling
BTO:0000089	blood	GO:0007516	hemocyte development
BTO:0000089	blood	GO:0007596	blood coagulation
BTO:0000089	blood	GO:0007597	blood coagulation, intrinsic pathway
BTO:0000089	blood	GO:0007598	blood coagulation, extrinsic pathway
BTO:0000089	blood	GO:0008065	establishment of blood-nerve barrier
BTO:0000089	blood	GO:0010543	regulation of platelet activation
BTO:0000089	blood	GO:0010544	negative regulation of platelet activation
BTO:0000089	blood	GO:0010572	positive regulation of platelet activation
BTO:0000089	blood	GO:0010724	regulation of definitive erythrocyte differentiation
BTO:0000089	blood	GO:0010725	regulation of primitive erythrocyte differentiation
BTO:0000089	blood	GO:0019836	hemolysis by symbiont of host erythrocytes
BTO:0000089	blood	GO:0020013	modulation by symbiont of host erythrocyte aggregation
BTO:0000089	blood	GO:0030097	hemopoiesis
BTO:0000089	blood	GO:0030098	lymphocyte differentiation
BTO:0000089	blood	GO:0030099	myeloid cell differentiation
BTO:0000089	blood	GO:0030168	platelet activation
BTO:0000089	blood	GO:0030183	B cell differentiation
BTO:0000089	blood	GO:0030193	regulation of blood coagulation
BTO:0000089	blood	GO:0030194	positive regulation of blood coagulation
BTO:0000089	blood	GO:0030195	negative regulation of blood coagulation
BTO:0000089	blood	GO:0030217	T cell differentiation
BTO:0000089	blood	GO:0030218	erythrocyte differentiation
BTO:0000089	blood	GO:0030219	megakaryocyte differentiation
BTO:0000089	blood	GO:0030220	platelet formation
BTO:0000089	blood	GO:0030221	basophil differentiation
BTO:0000089	blood	GO:0030222	eosinophil differentiation
BTO:0000089	blood	GO:0030223	neutrophil differentiation
BTO:0000089	blood	GO:0030224	monocyte differentiation
BTO:0000089	blood	GO:0030225	macrophage differentiation
BTO:0000089	blood	GO:0030316	osteoclast differentiation
BTO:0000089	blood	GO:0030851	granulocyte differentiation
BTO:0000089	blood	GO:0030852	regulation of granulocyte differentiation
BTO:0000089	blood	GO:0030853	negative regulation of granulocyte differentiation
BTO:0000089	blood	GO:0030854	positive regulation of granulocyte differentiation
BTO:0000089	blood	GO:0032823	regulation of natural killer cell differentiation
BTO:0000089	blood	GO:0032824	negative regulation of natural killer cell differentiation
BTO:0000089	blood	GO:0032825	positive regulation of natural killer cell differentiation
BTO:0000089	blood	GO:0032826	regulation of natural killer cell differentiation involved in immune response
BTO:0000089	blood	GO:0032827	negative regulation of natural killer cell differentiation involved in immune response
BTO:0000089	blood	GO:0032828	positive regulation of natural killer cell differentiation involved in immune response
BTO:0000089	blood	GO:0032829	regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
BTO:0000089	blood	GO:0032830	negative regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
BTO:0000089	blood	GO:0032831	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
BTO:0000089	blood	GO:0032832	regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
BTO:0000089	blood	GO:0032833	negative regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
BTO:0000089	blood	GO:0032834	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
BTO:0000089	blood	GO:0033077	T cell differentiation in thymus
BTO:0000089	blood	GO:0033078	extrathymic T cell differentiation
BTO:0000089	blood	GO:0033080	immature T cell proliferation in thymus
BTO:0000089	blood	GO:0033081	regulation of T cell differentiation in thymus
BTO:0000089	blood	GO:0033082	regulation of extrathymic T cell differentiation
BTO:0000089	blood	GO:0033084	regulation of immature T cell proliferation in thymus
